v	T	p
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
0	0	0
1	0.919221	0.0134796
1	0.951118	0.0124268
1	0.915949	0.0116167
1	0.90816	0.0109825
1	0.916581	0.0111267
1	0.922249	0.0115483
1	0.936826	0.0115797
1	0.915975	0.0122278
1	0.921766	0.011297
1	0.85019	0.0114226
1.41421	1.37696	0.0182461
1.41421	1.35526	0.0173838
1.41421	1.42196	0.0165136
1.41421	1.34745	0.0159156
1.41421	1.35212	0.0166354
1.41421	1.36121	0.0158116
1.41421	1.37702	0.017869
1.41421	1.35393	0.0178468
1.41421	1.33837	0.0171434
1.41421	1.34344	0.018017
1.73205	1.83309	0.0228263
1.73205	1.81363	0.0218632
1.73205	1.84499	0.0231623
1.73205	1.79137	0.0228568
1.73205	1.78932	0.0237958
1.73205	1.8687	0.022731
1.73205	1.7842	0.0233257
1.73205	1.82881	0.0235982
1.73205	1.84473	0.0227598
1.73205	1.8056	0.0222586
2	2.28148	0.0277417
2	2.30358	0.030772
2	2.27156	0.0285004
2	2.28641	0.0293307
2	2.2646	0.0275871
2	2.32205	0.0295337
2	2.26145	0.0290104
2	2.28776	0.028901
2	2.31353	0.028346
2	2.32552	0.0278306
2.23607	2.7774	0.0361124
2.23607	2.78347	0.0343445
2.23607	2.7773	0.0369961
2.23607	2.72659	0.0369956
2.23607	2.76858	0.0325727
2.23607	2.76657	0.0360475
2.23607	2.73814	0.0358473
2.23607	2.7583	0.0363617
2.23607	2.80629	0.0355814
2.23607	2.76689	0.0354194
2.44949	3.27169	0.0424086
2.44949	3.23234	0.0418939
2.44949	3.25866	0.0441581
2.44949	3.26278	0.0421834
2.44949	3.28091	0.040943
2.44949	3.24428	0.0422399
2.44949	3.2842	0.0426005
2.44949	3.24407	0.0406016
2.44949	3.24746	0.0394682
2.44949	3.23804	0.0397951
2.64575	3.73194	0.0471902
2.64575	3.77473	0.0472394
2.64575	3.72309	0.0498076
2.64575	3.73115	0.0485261
2.64575	3.72693	0.0467033
2.64575	3.73622	0.0502167
2.64575	3.75688	0.046974
2.64575	3.72139	0.0479251
2.64575	3.7234	0.0466696
