N	L	T	p
10	10	297499949.346263	7742.401427
10	10	155908019.139064	5437.727003
10	10	2112297491.401148	23781.790655
10	10	106747306.333796	4681.044260
10	10	64227593824151.671875	3813578.999672
10	10	422356865977.862305	214679.737803
10	10	11956706.621232	1542.637386
10	10	1457530390652493.500000	17029976.591225
10	10	504674465705305.250000	9596842.343320
10	20	0.493705	0.000022
10	20	1.993657	0.000100
10	20	4.472578	0.000232
10	20	7.961386	0.000383
40	10	229674240694797892809774472510597758976.000000	14552004665901096960.000000
10	20	12.454069	0.000638
10	20	17.934075	0.000907
10	20	24.420488	0.001214
10	20	31.892926	0.001607
10	20	40.393701	0.002003
10	30	0.503624	0.000010
10	30	1.994836	0.000046
10	30	4.483906	0.000101
10	30	7.982237	0.000186
10	30	12.473645	0.000277
10	30	17.968021	0.000409
10	30	24.460036	0.000535
10	30	31.953425	0.000724
40	10	974882106032218639182170423296.000000	642041147464877.750000
10	30	40.444622	0.000922
10	40	0.506162	0.000007
10	40	2.005856	0.000025
10	40	4.505798	0.000058
10	40	7.998480	0.000098
10	40	12.491876	0.000153
10	40	17.989454	0.000226
10	40	24.492710	0.000308
10	40	31.979868	0.000400
10	40	40.474738	0.000500
70	10	1463747039638411619397579833344.000000	1518040837336569.000000
10	50	0.504674	0.000004
10	50	2.005344	0.000017
10	50	4.502505	0.000037
40	10	12060827305230612342208422887286049341440.000000	85220647446015115264.000000
10	50	8.002620	0.000066
10	50	12.509066	0.000103
10	50	17.991692	0.000146
10	50	24.491862	0.000197
10	50	31.984830	0.000257
10	50	40.483242	0.000323
10	60	0.500855	0.000003
10	60	2.001347	0.000012
10	60	4.501199	0.000027
10	60	8.001132	0.000043
10	60	12.501202	0.000072
10	60	17.995799	0.000103
10	60	24.499056	0.000137
40	10	898560187276041125888.000000	27298262140.828270
10	60	31.997322	0.000178
10	60	40.489420	0.000231
10	70	0.501874	0.000002
10	70	2.003931	0.000008
10	70	4.500223	0.000019
10	70	8.000557	0.000035
10	70	12.500693	0.000052
10	70	17.995156	0.000073
10	70	24.499445	0.000099
10	70	31.996385	0.000132
90	10	84494009418089879809288821933080576.000000	317844642200096128.000000
10	70	40.493526	0.000163
10	80	0.501262	0.000001
10	80	2.002737	0.000006
10	80	4.500037	0.000014
40	10	2761610009520499200.000000	1486332665.054227
10	80	8.000645	0.000024
10	80	12.501124	0.000041
10	80	18.001190	0.000059
10	80	24.500065	0.000081
10	80	31.997811	0.000100
10	80	40.494122	0.000127
10	90	0.500000	0.000002
10	90	2.002093	0.000005
10	90	4.501322	0.000013
70	10	2085759465540153115840348160.000000	69735693239387.851562
10	90	8.000895	0.000020
10	90	12.500249	0.000032
10	90	17.998520	0.000045
10	90	24.498187	0.000062
40	10	3827425036902767457107856850944.000000	1712539492100894.000000
10	90	31.995704	0.000081
10	90	40.495470	0.000100
10	100	0.502018	0.000001
10	100	2.000878	0.000003
10	100	4.500644	0.000009
10	100	8.000640	0.000018
10	100	12.500091	0.000026
10	100	17.997739	0.000039
10	100	24.498916	0.000046
10	100	31.998724	0.000065
10	100	40.496535	0.000083
40	10	619883365448144650240.000000	18191997233.775803
20	10	0.841371	0.000356
20	10	2.192117	0.000880
20	10	4.568582	0.001907
20	10	7.964278	0.003206
40	10	2047588648452420018372608.000000	1238485031292.586426
20	10	12.298730	0.005053
20	10	17.649112	0.006908
70	10	41258397346852950178429974702865776640.000000	6119046421746673664.000000
20	10	23.933976	0.009885
40	10	798547864775717801628057588465664.000000	19752207571932420.000000
20	10	31.191168	0.012836
20	10	39.509388	0.015911
90	10	32341558399965675039692398002176.000000	5741941627780590.000000
20	20	0.612349	0.000061
20	20	2.099500	0.000208
40	20	0.729512	0.000153
20	20	4.557115	0.000473
20	20	8.030929	0.000828
20	20	12.499782	0.001306
40	20	2.151744	0.000454
20	20	17.968852	0.001741
20	20	24.398104	0.002491
20	20	31.861715	0.003250
70	10	24967407781551476568854888448.000000	138960246317141.656250
20	20	40.305952	0.004065
40	20	4.578258	0.000943
20	30	0.533748	0.000024
20	30	2.031959	0.000094
20	30	4.524323	0.000213
20	30	8.013680	0.000376
40	20	8.030349	0.001558
20	30	12.501268	0.000574
20	30	17.983393	0.000812
20	30	24.480514	0.001111
20	30	31.935611	0.001469
40	20	12.457443	0.002558
20	30	40.416238	0.001834
20	40	0.514260	0.000014
90	10	177303324716538344814400015875357341122560.000000	529223949090625683456.000000
20	40	2.015191	0.000054
70	10	219166918905575878458081280.000000	13091255282745.425781
20	40	4.511925	0.000118
40	20	17.863065	0.003548
20	40	8.009089	0.000198
20	40	12.504061	0.000324
20	40	18.004791	0.000459
40	20	24.272613	0.004765
20	40	24.477978	0.000619
20	40	31.968533	0.000826
20	40	40.440303	0.001008
20	50	0.509324	0.000010
40	20	31.656425	0.006327
20	50	2.012555	0.000034
20	50	4.506747	0.000075
20	50	8.005162	0.000139
20	50	12.498477	0.000211
40	20	40.023002	0.007876
70	10	7642561869840110018721063051984896.000000	106614986759267968.000000
