POSICION_X	POSICION_Y
49.305644	0.000000
49.305644	0.001103
49.305644	0.002206
49.305644	0.003309
49.305643	0.004413
49.305643	0.005516
49.305643	0.006619
49.305643	0.007722
49.305642	0.008825
49.305642	0.009928
49.305642	0.011031
49.305641	0.012134
49.305641	0.013238
49.305640	0.014341
49.305640	0.015444
49.305639	0.016547
49.305638	0.017650
49.305638	0.018753
49.305637	0.019856
49.305636	0.020959
49.305635	0.022063
49.305635	0.023166
49.305634	0.024269
49.305633	0.025372
49.305632	0.026475
49.305631	0.027578
49.305630	0.028681
49.305629	0.029785
49.305628	0.030888
49.305626	0.031991
49.305625	0.033094
49.305624	0.034197
49.305623	0.035300
49.305621	0.036403
49.305620	0.037506
49.305618	0.038610
49.305617	0.039713
49.305616	0.040816
49.305614	0.041919
49.305612	0.043022
49.305611	0.044125
49.305609	0.045228
49.305607	0.046332
49.305606	0.047435
49.305604	0.048538
49.305602	0.049641
49.305600	0.050744
49.305598	0.051847
49.305596	0.052950
49.305594	0.054053
49.305592	0.055157
49.305590	0.056260
49.305588	0.057363
49.305586	0.058466
49.305584	0.059569
49.305581	0.060672
49.305579	0.061775
49.305577	0.062878
49.305574	0.063982
49.305572	0.065085
49.305570	0.066188
49.305567	0.067291
49.305565	0.068394
49.305562	0.069497
49.305559	0.070600
49.305557	0.071704
49.305554	0.072807
49.305551	0.073910
49.305548	0.075013
49.305546	0.076116
49.305543	0.077219
49.305540	0.078322
49.305537	0.079425
49.305534	0.080529
49.305531	0.081632
49.305528	0.082735
49.305525	0.083838
49.305522	0.084941
49.305518	0.086044
49.305515	0.087147
49.305512	0.088250
49.305508	0.089354
49.305505	0.090457
49.305502	0.091560
49.305498	0.092663
49.305495	0.093766
49.305491	0.094869
49.305488	0.095972
49.305484	0.097075
49.305480	0.098179
49.305477	0.099282
49.305473	0.100385
49.305469	0.101488
49.305465	0.102591
49.305462	0.103694
49.305458	0.104797
49.305454	0.105900
49.305450	0.107004
49.305446	0.108107
49.305442	0.109210
49.305438	0.110313
49.305433	0.111416
49.305429	0.112519
49.305425	0.113622
49.305421	0.114726
49.305416	0.115829
49.305412	0.116932
49.305408	0.118035
49.305403	0.119138
49.305399	0.120241
49.305394	0.121344
49.305390	0.122447
49.305385	0.123551
49.305381	0.124654
49.305376	0.125757
49.305371	0.126860
49.305366	0.127963
49.305362	0.129066
49.305357	0.130169
49.305352	0.131272
49.305347	0.132376
49.305342	0.133479
49.305337	0.134582
49.305332	0.135685
49.305327	0.136788
49.305322	0.137891
49.305317	0.138994
49.305311	0.140097
49.305306	0.141201
49.305301	0.142304
49.305295	0.143407
49.305290	0.144510
49.305285	0.145613
49.305279	0.146716
49.305274	0.147819
49.305268	0.148922
49.305263	0.150026
49.305257	0.151129
49.305251	0.152232
49.305246	0.153335
49.305240	0.154438
49.305234	0.155541
49.305228	0.156644
49.305222	0.157747
49.305216	0.158850
49.305210	0.159954
49.305204	0.161057
49.305198	0.162160
49.305192	0.163263
49.305186	0.164366
49.305180	0.165469
49.305174	0.166572
49.305168	0.167675
49.305161	0.168779
49.305155	0.169882
49.305149	0.170985
49.305142	0.172088
49.305136	0.173191
49.305129	0.174294
49.305123	0.175397
49.305116	0.176500
49.305109	0.177604
49.305103	0.178707
49.305096	0.179810
49.305089	0.180913
49.305083	0.182016
49.305076	0.183119
49.305069	0.184222
49.305062	0.185325
49.305055	0.186428
49.305048	0.187532
49.305041	0.188635
49.305034	0.189738
49.305027	0.190841
49.305020	0.191944
49.305013	0.193047
49.305005	0.194150
49.304998	0.195253
