POSICION_X	POSICION_Y
5.454558	0.000000
5.454558	0.000408
5.454557	0.000816
5.454557	0.001224
5.454557	0.001632
5.454557	0.002040
5.454557	0.002448
5.454557	0.002855
5.454556	0.003263
5.454556	0.003671
5.454556	0.004079
5.454556	0.004487
5.454555	0.004895
5.454555	0.005303
5.454554	0.005711
5.454554	0.006119
5.454553	0.006527
5.454553	0.006935
5.454552	0.007343
5.454551	0.007751
5.454551	0.008159
5.454550	0.008566
5.454549	0.008974
5.454549	0.009382
5.454548	0.009790
5.454547	0.010198
5.454546	0.010606
5.454545	0.011014
5.454544	0.011422
5.454543	0.011830
5.454542	0.012238
5.454541	0.012646
5.454540	0.013054
5.454539	0.013462
5.454538	0.013870
5.454537	0.014277
5.454536	0.014685
5.454535	0.015093
5.454533	0.015501
5.454532	0.015909
5.454531	0.016317
5.454529	0.016725
5.454528	0.017133
5.454526	0.017541
5.454525	0.017949
5.454524	0.018357
5.454522	0.018765
5.454520	0.019173
5.454519	0.019581
5.454517	0.019988
5.454516	0.020396
5.454514	0.020804
5.454512	0.021212
5.454510	0.021620
5.454509	0.022028
5.454507	0.022436
5.454505	0.022844
5.454503	0.023252
5.454501	0.023660
5.454499	0.024068
5.454497	0.024476
5.454495	0.024884
5.454493	0.025291
5.454491	0.025699
5.454489	0.026107
5.454487	0.026515
5.454484	0.026923
5.454482	0.027331
5.454480	0.027739
5.454478	0.028147
5.454475	0.028555
5.454473	0.028963
5.454470	0.029371
5.454468	0.029779
5.454466	0.030187
5.454463	0.030594
5.454461	0.031002
5.454458	0.031410
5.454455	0.031818
5.454453	0.032226
5.454450	0.032634
5.454447	0.033042
5.454445	0.033450
5.454442	0.033858
5.454439	0.034266
5.454436	0.034674
5.454433	0.035082
5.454430	0.035489
5.454427	0.035897
5.454424	0.036305
5.454421	0.036713
5.454418	0.037121
5.454415	0.037529
5.454412	0.037937
5.454409	0.038345
5.454406	0.038753
5.454403	0.039161
5.454399	0.039569
5.454396	0.039977
5.454393	0.040385
5.454390	0.040792
5.454386	0.041200
5.454383	0.041608
5.454379	0.042016
5.454376	0.042424
5.454372	0.042832
5.454369	0.043240
5.454365	0.043648
5.454362	0.044056
5.454358	0.044464
5.454354	0.044872
5.454351	0.045279
5.454347	0.045687
5.454343	0.046095
5.454339	0.046503
5.454335	0.046911
5.454331	0.047319
5.454328	0.047727
5.454324	0.048135
5.454320	0.048543
5.454316	0.048951
5.454312	0.049359
5.454308	0.049767
5.454303	0.050174
5.454299	0.050582
5.454295	0.050990
5.454291	0.051398
5.454287	0.051806
5.454282	0.052214
5.454278	0.052622
5.454274	0.053030
5.454269	0.053438
5.454265	0.053846
